category,num_examples,avg_rougeL_checkpoint1,avg_rougeL_checkpoint2,delta_rougeL,avg_bertscore_checkpoint1,avg_bertscore_checkpoint2,delta_bertscore_f1,completion_rate_checkpoint1,completion_rate_checkpoint2,delta_completion_rate
open_ended_generation,67,0.2611382535345811,0.2679338395171262,0.006795585982545052,0.8704838290143369,0.8738491926620255,0.0033653636476886806,1.0,1.0,0.0
qa,16,0.16091152596354502,0.18341509155249608,0.022503565588951044,0.8663975819945335,0.87209053337574,0.0056929513812065125,1.0,1.0,0.0
brainstorming,9,0.1466615618516112,0.14763952984966633,0.0009779679980551248,0.8417686091528999,0.849371956454383,0.007603347301483154,1.0,1.0,0.0
rewriting,6,0.5601876860885531,0.5573257921084008,-0.002861893980152267,0.9273473024368286,0.9273584087689718,1.1106332143147787e-05,1.0,1.0,0.0
summarization,1,0.42424242424242425,0.42424242424242425,0.0,0.9485396146774292,0.9485396146774292,0.0,1.0,1.0,0.0
translation,1,0.25,0.3333333333333333,0.08333333333333331,0.8468618988990784,0.8570005297660828,0.010138630867004395,1.0,1.0,0.0
